4279,27/06/2016 6:00,0.01595,0.01662,0.03276,0.173,0.00387,10.319,MS,7.665,11.464,MS,0.726,5.52,-0.00007,0.00411,0.00737,0.01194,0.158,0.00816,3.669,MS,MS,6.725,265.832,2.554,6.879,9.709,0.161,8.471,5.586,5.586,91.107,8.958,313.762
4280,27/06/2016 7:00,0.01402,0.0144,0.02859,0.129,0.00759,11.394,MS,6.819,13.451,MS,3.873,329.22,0.00008,0.00945,0.00924,0.01919,0.202,0.00823,4.324,MS,MS,7.124,267.952,3.766,5.509,9.581,0.182,11.241,5.185,5.185,81.001,8.205,316.001
4281,27/06/2016 8:00,0.01288,0.01307,0.02611,0.146,0.0099,11.332,MS,5.848,15.741,MS,4.728,351.941,0.00065,0.01082,0.01007,0.02132,0.23,0.01116,4.662,MS,MS,4.833,269.744,3.898,4.866,9.043,0.178,16.204,4.625,4.625,65.695,8.628,309.514
4282,27/06/2016 9:00,0.01649,0.01552,0.0322,0.16,0.01295,11.068,MS,6.909,19.131,MS,1.868,80.987,0.00248,0.00791,0.00983,0.01811,0.217,0.01627,3.374,MS,MS,1.511,145.755,3.407,4.931,8.633,0.174,20.51,4.41,4.41,55.439,4.799,297.002
4283,27/06/2016 10:00,0.01157,0.01633,0.02807,0.152,0.02153,20.412,MS,7.626,21.11,MS,3.442,121.279,0.00157,0.00367,0.00694,0.01111,0.184,0.02405,3.225,MS,MS,5.251,126.735,4.041,7.151,11.567,0.19,26.651,4.484,4.484,43.916,2.374,137.55
4284,27/06/2016 11:00,0.00523,0.00946,0.01476,0.118,0.02804,21.177,MS,7.558,21.391,MS,8.617,135.458,0.00038,0.0011,0.00289,0.00426,0.146,0.03013,2.442,MS,MS,11.474,133.888,4.322,9.008,13.741,0.216,31.936,5.604,5.604,42.538,6.942,131.826
4285,27/06/2016 12:00,0.00109,0.00348,0.00464,0.058,0.03402,13.059,MS,4.393,22.176,MS,9.854,134.997,0.00007,0.00077,0.00197,0.00304,0.134,0.03372,1.719,MS,MS,14.309,135.295,1.938,5.368,7.615,0.18,37.672,6.274,6.274,44.806,8.113,133.694
4286,27/06/2016 13:00,0.00073,0.00251,0.00329,0.053,0.03576,14.543,MS,3.763,23.027,MS,13.162,143.603,0,0.00064,0.00162,0.00244,0.128,0.03562,1.356,MS,MS,18.301,137.681,0.884,2.738,3.971,0.151,39.117,4.596,4.596,44.479,10.141,138.417
4287,27/06/2016 14:00,0.00091,0.00269,0.00363,0.054,0.03755,8.575,MS,3.139,23.458,MS,13.548,135.821,-0.00002,0.00039,0.00147,0.00221,0.122,0.0372,1.817,MS,MS,16.901,135.124,0.554,2.179,3.092,0.149,39.318,3.49,3.49,40.359,8.519,136.274
4288,27/06/2016 15:00,0.00048,0.0022,0.00271,0.045,0.03918,10.447,MS,3.107,24.119,MS,11.475,148.77,-0.00008,0.00055,0.00162,0.00239,0.121,0.03769,1.834,MS,MS,17.286,135.143,0.52,1.721,2.597,0.143,40.439,3.122,3.122,34.982,8.365,152.151
4289,27/06/2016 16:00,0.00103,0.00224,0.00329,0.055,0.03941,7.786,MS,3.107,24.97,MS,10.785,150.405,-0.00005,0.0005,0.00149,0.00221,0.12,0.03817,1.937,MS,MS,17.211,136.965,0.488,1.756,2.606,0.138,41.793,3.089,3.089,32.561,9.104,149.35
4290,27/06/2016 17:00,0.0005,0.00195,0.00247,0.057,0.03969,6.114,MS,2.923,24.991,MS,11.818,136.011,-0.0001,0.00017,0.00137,0.00189,0.12,0.03885,2.06,MS,MS,17.132,134.078,0.404,1.549,2.299,0.143,41.442,3.234,3.234,32.528,8.767,140.474
4291,27/06/2016 18:00,0.00029,0.00205,0.00236,0.047,0.04001,10.332,MS,2.959,24.246,MS,12.413,116.929,-0.0001,0.00012,0.00135,0.00203,0.121,0.03978,2.448,MS,MS,14.351,119.54,0.34,1.671,2.368,0.133,41.303,2.942,2.942,32.689,9.504,126.747
4292,27/06/2016 19:00,0.00027,0.00318,0.0035,0.057,0.03909,7.425,MS,3.095,23.738,MS,9.505,123.969,-0.00002,0,0.00293,0.00359,0.126,0.037,3.26,MS,MS,11.149,127.15,0.233,1.828,2.447,0.135,41.172,2.998,2.998,34.479,9.663,130.033
4293,27/06/2016 20:00,0.00034,0.00731,0.00771,0.096,0.03249,4.092,MS,3.809,22.553,MS,6.433,118.481,-0.00005,0.00027,0.00462,0.00526,0.133,0.03046,3.344,MS,MS,7.255,114.69,0.216,4.267,4.875,0.157,38.189,3.255,3.255,39.392,6.573,129.822
4294,27/06/2016 21:00,0.00023,0.01028,0.01056,0.103,0.02643,0.244,MS,4.622,21.088,MS,7.28,125.48,-0.00003,-0.0002,0.00609,0.00669,0.145,0.02461,3.426,MS,MS,8.589,124.941,0.239,8.708,9.365,0.18,32.409,3.842,3.842,46.863,5.15,118.883
4295,27/06/2016 22:00,0,0.00872,0.00875,0.073,0.02696,2.623,MS,5.327,19.952,MS,7.843,157.997,-0.00005,-0.00068,0.00439,0.00483,0.135,0.02676,3.269,MS,MS,10.938,145.263,0.239,7.712,8.349,0.169,31.208,4.365,4.365,53.838,7.303,146.576
4296,27/06/2016 23:00,0,0.00962,0.00966,0.077,0.02581,3.601,MS,4.931,18.704,MS,6.572,175.48,-0.00012,-0.00071,0.00215,0.00266,0.127,0.03054,3.205,MS,MS,10.717,161.817,0.082,4.941,5.374,0.147,31.931,4.231,4.231,57.411,6.314,150.684
4297,28/06/2016 0:00,0,0.00857,0.00857,0.067,0.02542,1.08,MS,4.49,17.515,MS,5.81,178.901,0.00002,-0.00071,0.00385,0.00404,0.124,0.02726,3.357,MS,MS,8.73,173.964,0.081,5.674,6.122,0.141,29.017,4.315,4.315,61.774,6.399,163.936
4298,28/06/2016 1:00,0.00003,0.01319,0.01327,0.08,0.01658,0.068,MS,5.633,15.938,MS,1.573,131.84,0.00005,-0.00078,0.00591,0.00631,0.134,0.0205,3.808,MS,MS,4.797,154.144,0.049,5.087,5.495,0.144,27.412,5.093,5.093,68.185,2.519,137.768
4299,28/06/2016 2:00,0.00016,0.01476,0.01504,0.107,0.00954,3.316,MS,7.346,14.749,MS,1.209,82.204,Z,Z,Z,Z,Z,Z,4.355,MS,MS,3.978,112.408,0.039,5.839,6.228,0.151,25.938,5.96,5.96,70.902,1.723,136.403
4300,28/06/2016 3:00,0.00028,0.01416,0.01451,0.1,0.00755,6.111,MS,8.343,13.899,MS,0.614,103.517,-0.00004,0.00017,0.01034,0.011,0.123,0.01011,5.36,MS,MS,3.33,112.093,0.05,5.767,6.198,0.157,25.435,5.748,5.748,72.489,2.583,119.304
4301,28/06/2016 4:00,0.00163,0.01409,0.01578,0.102,0.00697,6.654,MS,8.022,13.318,MS,0.945,91.698,0.00001,0.0089,0.02014,0.02984,0.141,0.00165,5.168,MS,MS,3.974,71.842,0.072,6.997,7.449,0.149,24.663,5.583,5.583,72.104,1.462,134.483
4302,28/06/2016 5:00,0.00074,0.01523,0.01612,0.099,0.00877,10.043,MS,6.994,13.064,MS,4.249,82.182,0.00009,0.0159,0.02239,0.03903,0.143,0.0017,5.784,MS,MS,4.152,84.308,0.24,8.229,8.897,0.154,16.996,5.577,5.577,79.143,1.286,91.788
4303,28/06/2016 6:00,0.00449,0.015,0.01964,0.121,0.00891,7.265,MS,7.891,13.497,MS,0.528,220.259,0.00014,0.01117,0.01807,0.02981,0.164,0.00663,5.709,MS,MS,2.246,144.086,3.382,14.134,18.014,0.208,12.097,7.87,7.87,80.951,0.866,159.915
4304,28/06/2016 7:00,0.0217,0.02686,0.04893,0.188,0.0081,8.219,MS,14.308,16.771,MS,0.542,330.02,0.00016,0.02164,0.02052,0.04291,0.279,0.00686,5.631,MS,MS,3.088,272.427,5.537,9.321,15.372,0.177,13.73,6.625,6.625,76.865,9.084,299.918
4305,28/06/2016 8:00,0.00763,0.01576,0.02356,0.158,0.01451,15.977,MS,8.657,16.909,MS,7.725,328.238,0.00021,0.00677,0.01462,0.02219,0.227,0.01594,4.736,MS,MS,8.988,303.22,3.113,10.415,13.972,0.196,13.955,7.427,7.427,76.265,4.715,336.93
4306,28/06/2016 9:00,0.00777,0.01849,0.0264,0.239,0.01449,15.657,MS,6.752,18.068,MS,4.755,75.505,0.00052,0.01302,0.01985,0.0336,0.223,0.01299,6.082,MS,MS,7.908,59.099,6.014,13,19.535,0.257,18.499,7.579,7.579,68.157,0.85,335.191
4307,28/06/2016 10:00,0.00712,0.01159,0.0188,0.153,0.02356,9.382,MS,6.382,20.76,MS,7.017,59.503,0.00037,0.0056,0.01019,0.01634,0.188,0.02473,3.951,MS,MS,10.651,47.948,3.058,7.157,10.62,0.189,30.27,5.594,5.594,53.513,5.726,310.385
4308,28/06/2016 11:00,0.00245,0.00507,0.00754,0.088,0.03072,7.739,MS,5.906,21.053,MS,10.737,70.969,0.00032,0.00264,0.00579,0.00887,0.155,0.03252,3.391,MS,MS,8.463,61.177,3.973,8.144,12.531,0.187,32.03,6.312,6.312,49.803,5.433,66.236
4309,28/06/2016 12:00,0.00075,0.00285,0.00365,0.076,0.04103,12.221,MS,4.98,21.859,MS,11.751,82.128,0.00027,0.00116,0.00386,0.00526,0.155,0.03988,2.665,MS,MS,10.537,83.882,1.386,4.153,5.851,0.164,40.749,6.027,6.027,50.479,6.846,85.722
4310,28/06/2016 13:00,0.00042,0.00213,0.0026,0.072,0.04362,14.626,MS,4.118,23.01,MS,12.903,115.255,0.00021,0.0009,0.00277,0.0039,0.137,0.04173,1.738,MS,MS,14.143,116.196,0.871,2.872,4.08,0.154,46.612,4.949,4.949,47.463,8.033,104.107
4311,28/06/2016 14:00,0.00034,0.00301,0.00339,0.075,0.04274,9.833,MS,4.14,23.085,MS,10.703,134.825,0.00017,0.00053,0.00213,0.0028,0.132,0.0444,2.117,MS,MS,13.589,130.719,0.692,4.029,5.037,0.156,44.34,5.082,5.082,51.716,7.801,113.467
4312,28/06/2016 15:00,0.0001,0.00655,0.00671,0.1,0.0385,15.142,MS,4.916,21.58,MS,9.514,84.174,0.00027,0.00079,0.00685,0.00777,0.144,0.03734,2.802,MS,MS,12.315,95.413,0.138,6.015,6.497,0.171,38.311,5.805,5.805,68.767,6.28,45.915
4313,28/06/2016 16:00,0.00104,0.01389,0.01505,0.176,0.0272,9.033,MS,7.437,18.836,MS,9.017,52.478,0.00022,0.00171,0.01155,0.01348,0.192,0.03009,4.393,MS,MS,3.858,332.481,0.837,5.038,6.171,0.187,36.449,9.12,9.12,85.276,3.714,104.885
4314,28/06/2016 17:00,0.0015,0.00612,0.00768,0.118,0.03375,4.235,MS,4.873,20.311,MS,3.943,90.193,0.00026,0.00185,0.00659,0.00874,0.157,0.03339,2.325,MS,MS,7.923,59.858,1.242,4.231,5.733,0.174,41.379,7.22,7.22,57.781,1.493,124.065
4315,28/06/2016 18:00,0.00048,0.00286,0.00341,0.078,0.04086,2.031,MS,3.037,21.954,MS,3.7,96.759,0.00037,0.00118,0.0045,0.00583,0.131,0.03824,1.615,MS,MS,4.611,46.09,0.409,2.264,3.01,0.138,44.689,3.376,3.376,44.892,3.752,112.741
4316,28/06/2016 19:00,0.00021,0.00224,0.00249,0.064,0.04155,2.051,MS,2.511,21.845,MS,1.326,154.308,0.00022,0.00065,0.00369,0.00435,0.127,0.04108,1.47,MS,MS,3.679,212.832,0.5,3.579,4.371,0.151,43.343,2.876,2.876,49.445,4.018,179.678
4317,28/06/2016 20:00,0.00038,0.00623,0.00666,0.111,0.03934,5.739,MS,4.514,20.832,MS,5.093,225.567,0.00034,0.00066,0.00651,0.00701,0.159,0.03832,2.08,MS,MS,5.468,207.615,0.617,4.154,5.046,0.171,42.586,5.138,5.138,66.241,9.036,232.089
4318,28/06/2016 21:00,0.00015,0.00693,0.00712,0.109,0.03691,7.157,MS,4.805,19.934,MS,4.271,253.97,0.00032,0.00059,0.00868,0.009,0.201,0.03231,3.081,MS,MS,4.557,250.33,0.156,5.024,5.428,0.168,39.456,4.895,4.895,68.402,4.071,292.727
4319,28/06/2016 22:00,0.00001,0.00967,0.00976,0.1,0.02755,10.534,MS,4.942,17.76,MS,1.548,233.488,0.00034,0.00068,0.01072,0.01103,0.187,0.02498,2.767,MS,MS,3.411,253.193,0.157,6.027,6.406,0.159,33.751,4.51,4.51,72.999,3.266,296.725
4320,28/06/2016 23:00,0.00002,0.00847,0.00855,0.105,0.01861,6.353,MS,5.663,15.356,MS,0.215,109.961,0.00036,0.00069,0.01109,0.01132,0.191,0.02077,3.022,MS,MS,2.206,240.732,0.196,13.55,13.99,0.212,18.304,6.029,6.029,85.114,2.089,310.326
4321,29/06/2016 0:00,0.00069,0.01778,0.01863,0.155,0.00852,3.289,MS,6.716,14.183,MS,1.787,184.508,0.00046,0.00094,0.01658,0.01736,0.2,0.01157,3.386,MS,MS,4.452,231.693,1.473,20.294,22.105,0.203,9.232,6.909,6.909,91.088,4.391,305.12
4322,29/06/2016 1:00,0.00217,0.01732,0.01963,0.146,0.0088,6.271,MS,8.455,13.937,MS,1.734,225.698,0.00044,0.00169,0.0098,0.01134,0.178,0.01224,3.093,MS,MS,5.202,263.782,0.182,9.736,10.17,0.148,14.814,6.847,6.847,91.396,7.056,310.63
4323,29/06/2016 2:00,0.00026,0.01629,0.01671,0.141,0.00644,5.273,MS,9.83,13.352,MS,1.129,30.99,Z,Z,Z,Z,Z,Z,3.009,MS,MS,7.36,272.447,0.224,6.64,7.147,0.134,10.522,7.389,7.389,94.056,7.376,308.467
4324,29/06/2016 3:00,0.00008,0.00953,0.00971,0.109,0.00986,8.929,MS,8.617,13.342,MS,4.68,339.844,0.00023,0.00198,0.00635,0.00836,0.141,0.00913,3.266,MS,MS,6.799,269.978,0.183,5.14,5.543,0.131,9.41,7.344,7.344,94.757,7.797,315.85
4325,29/06/2016 4:00,0.00005,0.00589,0.00605,0.079,0.01027,16.562,MS,7.363,13.007,MS,4.986,330.305,0.00029,0.00331,0.0091,0.01249,0.141,0.0072,3.975,MS,MS,5.296,253.584,0.278,6.197,6.708,0.126,7.925,7.254,7.254,94.933,7.604,317.241
4326,29/06/2016 5:00,0.00113,0.01099,0.01225,0.088,0.00582,12.741,MS,7.759,12.364,MS,5.269,331.901,0.00023,0.00237,0.00717,0.00978,0.142,0.0073,4.266,MS,MS,6.76,266.324,1.2,7.596,9.019,0.133,5.111,6.803,6.803,94.896,7.525,319.349
4327,29/06/2016 6:00,0.00556,0.01125,0.01695,0.118,0.00526,11.023,MS,7.589,13.083,MS,5.171,335.897,0.00028,0.00321,0.00688,0.01028,0.167,0.00805,5.121,MS,MS,7.964,268.982,2.711,5.869,8.76,0.143,7.46,6.325,6.325,91.56,8.867,317.905
4328,29/06/2016 7:00,0.01455,0.01343,0.02821,0.181,0.00607,11.714,MS,8.571,15.276,MS,3.73,335.901,0.00036,0.00769,0.00902,0.01711,0.2,0.00931,5.717,MS,MS,7.459,267.682,3.767,4.744,8.685,0.162,11.026,6.407,6.407,83.549,8.802,311.045
4329,29/06/2016 8:00,0.01266,0.01375,0.02663,0.184,0.01156,13.677,MS,8.894,17.198,MS,6.276,338.068,0.00071,0.00778,0.00949,0.01769,0.232,0.01339,5.623,MS,MS,6.11,266.231,5.735,6.196,12.187,0.163,13.893,6.843,6.843,75.526,8.386,311.283
4330,29/06/2016 9:00,0.00871,0.0147,0.02363,0.176,0.02236,19.532,MS,8.75,20.332,MS,3.581,357.852,0.00123,0.00662,0.01047,0.01769,0.232,0.02045,5.353,MS,MS,2.902,243.134,4.179,6.857,11.249,0.169,24.421,7.213,7.213,65.431,5.638,297.171
4331,29/06/2016 10:00,0.00759,0.01331,0.0211,0.15,0.03433,14.379,MS,7.411,22.057,MS,3.534,155.232,0.00101,0.00183,0.00581,0.00791,0.178,0.03919,3.218,MS,MS,2.757,190.324,1.754,5.422,7.349,0.173,43.031,6.442,6.442,51.158,1.448,197.947
4332,29/06/2016 11:00,0.00126,0.00503,0.0064,0.107,0.04796,22.447,MS,4.627,23.247,MS,5.709,169.53,0.00034,0.00057,0.00258,0.00341,0.14,0.04897,3.263,MS,MS,6.25,137.125,1.251,4.1,5.537,0.159,49.317,4.557,4.557,43.944,3.81,162.042
4333,29/06/2016 12:00,0.00066,0.00393,0.0047,0.088,0.05393,15.915,MS,4.862,23.892,MS,6.272,141.713,0.00023,-0.00014,0.00162,0.0021,0.125,0.04975,2.654,MS,MS,8.874,141.307,0.795,3.62,4.571,0.162,57.333,4.651,4.651,43.368,5.212,174.925
4334,29/06/2016 13:00,0.00055,0.00309,0.00375,0.073,0.05145,18.895,MS,3.803,24.081,MS,8.85,121.421,0.00019,0.0003,0.00186,0.00261,0.126,0.04722,2.348,MS,MS,10.202,111.906,0.699,3.475,4.363,0.151,58.814,4.654,4.654,41.716,6.175,131.311
4335,29/06/2016 14:00,0.00064,0.003,0.00377,0.074,0.0504,14.11,MS,3.634,24.163,MS,10.418,113.956,0.00021,0.00022,0.00166,0.0024,0.123,0.0474,1.783,MS,MS,10.655,127.539,0.731,3.46,4.371,0.147,55.772,4.787,4.787,44.169,7.796,134.072
4336,29/06/2016 15:00,0.00046,0.00286,0.00346,0.072,0.0527,9.619,MS,4.246,24.675,MS,9.365,129.49,0.00016,0.00038,0.00186,0.00266,0.125,0.04752,1.546,MS,MS,12.532,130.435,0.657,3.068,3.877,0.148,55.185,4.76,4.76,44.723,9.079,140.275
4337,29/06/2016 16:00,0.00058,0.00282,0.00352,0.073,0.05247,7.64,MS,3.856,25.189,MS,9.257,137.068,0.00011,0.00031,0.00175,0.0024,0.127,0.04946,1.463,MS,MS,11.764,125.267,0.574,2.732,3.483,0.146,53.095,4.396,4.396,45.284,8.169,136.484
4338,29/06/2016 17:00,0.00037,0.00359,0.00408,0.079,0.05208,16.48,MS,4.172,24.027,MS,8.63,105.126,0.00009,0.00023,0.00147,0.0021,0.124,0.04928,1.249,MS,MS,10.352,138.544,0.222,3.574,3.976,0.142,52.163,4.312,4.312,49.004,5.041,104.806
4339,29/06/2016 18:00,0.00026,0.00328,0.00367,0.08,0.05376,8.955,MS,5.323,24.217,MS,8.921,86.95,0.00014,-0.00001,0.00127,0.00196,0.122,0.05066,1.35,MS,MS,10.279,138.846,0.388,3.933,4.454,0.145,53.865,4.609,4.609,46.858,4.432,85.167
4340,29/06/2016 19:00,0.00023,0.00284,0.00317,0.077,0.0528,4.563,MS,5,24.844,MS,9.521,120.699,0.00013,0.00018,0.0025,0.00321,0.124,0.05108,1.596,MS,MS,12.465,137.191,0.442,3.443,4.025,0.143,53.873,4.281,4.281,45.423,7.279,146.945
4341,29/06/2016 20:00,0.00017,0.00371,0.00402,0.084,0.04671,6.699,MS,6.057,23.428,MS,10.863,107.565,0.00008,0.00001,0.00318,0.004,0.125,0.0438,1.993,MS,MS,10.506,104.969,0.361,3.825,4.319,0.147,51.531,4.929,4.929,51.243,5.501,132.91
4342,29/06/2016 21:00,0.00006,0.00615,0.00634,0.106,0.0384,8.465,MS,5.949,21.677,MS,6.996,100.255,0.00003,-0.00029,0.00522,0.0058,0.128,0.03671,2.476,MS,MS,8.915,92.144,0.231,5.829,6.18,0.176,43.293,5.469,5.469,57.29,4.164,101.885
4343,29/06/2016 22:00,0.00001,0.00706,0.00722,0.112,0.0344,5.326,MS,6.833,20.583,MS,9.87,84.234,0.00003,-0.00013,0.00711,0.00763,0.135,0.02848,2.978,MS,MS,9.522,98.828,0.183,5.8,6.105,0.172,40.163,5.575,5.575,62.248,5.423,101.929
4344,29/06/2016 23:00,0.00002,0.0081,0.00829,0.087,0.02822,2.385,MS,6.791,18.974,MS,8.406,138.14,-0.00001,-0.00022,0.00565,0.00633,0.133,0.02277,2.945,MS,MS,8.526,127.847,0.131,7.468,7.749,0.161,33.827,6.472,6.472,71.078,3.736,113.45
4345,30/06/2016 0:00,0.00003,0.00907,0.00931,0.079,0.02849,2.919,MS,6.809,18.4,MS,5.287,137.878,-0.00004,-0.00059,0.00522,0.0059,0.121,0.0237,2.362,MS,MS,8.463,125.461,0.202,13.792,14.12,0.17,22.867,8.184,8.184,78.043,3.807,114.586
4346,30/06/2016 1:00,0.00128,0.00882,0.01032,0.076,0.02535,2.549,MS,9.31,17.783,MS,6.143,142.519,-0.00012,-0.00034,0.00404,0.00468,0.121,0.02608,1.829,MS,MS,9.061,141.655,0.201,7.921,8.216,0.15,30.563,8.15,8.15,77.797,6.246,128.636
4347,30/06/2016 2:00,0.00002,0.00759,0.00782,0.08,0.02384,2.146,MS,8.825,16.749,MS,4.843,126.388,Z,Z,Z,Z,Z,Z,1.884,MS,MS,7.586,117.853,0.18,5.951,6.244,0.145,31.057,7.994,7.994,79.022,5.451,125.014
4348,30/06/2016 3:00,0.00002,0.00797,0.00819,0.084,0.02346,8.094,MS,8.14,16.088,MS,2.855,142.151,-0.00019,-0.00023,0.00459,0.00535,0.122,0.02063,1.915,MS,MS,6.977,118.702,0.204,7.478,7.795,0.146,27.748,8.93,8.93,81.82,5.377,125.008
4349,30/06/2016 4:00,0.00007,0.00815,0.00841,0.077,0.02062,5.411,MS,9.45,15.33,MS,5.424,127.161,-0.00003,-0.00035,0.0048,0.00555,0.12,0.01777,1.984,MS,MS,7.863,118.367,0.223,8.606,8.893,0.144,25.183,9.335,9.335,86.402,4.476,122.713
4350,30/06/2016 5:00,0.00044,0.01184,0.01246,0.096,0.0142,6.815,MS,9.874,14.472,MS,3.396,124.032,-0.00001,0.00033,0.00671,0.00815,0.129,0.01382,3.801,MS,MS,7.855,115.434,0.322,9.581,10,0.144,18.916,9.315,9.315,91.061,2.587,107.397
4351,30/06/2016 6:00,0.00414,0.01414,0.01855,0.121,0.0105,12.939,MS,10.141,15.162,MS,4.77,127.727,-0.00006,0.00164,0.00752,0.01031,0.139,0.01169,2.348,MS,MS,8.383,121.914,1.746,12.74,14.685,0.173,16.238,9.667,9.667,86.989,4.704,115.547
4352,30/06/2016 7:00,0.00712,0.01363,0.021,0.125,0.01188,8.353,MS,15.48,16.316,MS,5.656,136.015,-0.00006,0.00229,0.00612,0.00962,0.141,0.01386,2.039,MS,MS,9.651,124.725,4.961,14.057,19.276,0.199,17.23,10.396,10.396,83.119,6.005,124.964
4353,30/06/2016 8:00,0.00395,0.01048,0.01463,0.105,0.01491,6.205,MS,10.093,17.341,MS,7.16,146.396,-0.00008,0.00122,0.0046,0.00685,0.129,0.01822,1.824,MS,MS,16.055,139.751,8.048,15.33,23.65,0.208,15.394,12.015,12.015,82.802,5.317,131.942
4354,30/06/2016 9:00,0.00469,0.01108,0.01597,0.123,0.01677,9.037,MS,8.891,17.881,MS,4.9,153.992,-0.00006,0.00143,0.00562,0.00804,0.137,0.02063,1.5,MS,MS,10.828,139.106,5.459,13.017,18.709,0.205,18.512,10.094,10.094,82.04,6.733,124.301
4355,30/06/2016 10:00,0.00254,0.00701,0.0097,0.088,0.02507,9.758,MS,4.938,19.792,MS,11.181,145.423,-0.00003,0.00063,0.00367,0.00551,0.126,0.02944,1.272,MS,MS,18.747,138.542,4.434,11.959,16.634,0.203,26.178,8.203,8.203,72.499,8.711,132.29
4356,30/06/2016 11:00,0.00127,0.00831,0.00976,0.086,0.03413,N,MS,4.248,20.042,MS,11.803,157.151,0.00003,0.0002,0.00455,0.00564,0.127,0.03629,1.256,MS,MS,21.412,139.576,1.068,5.67,6.893,0.164,37.276,4.511,4.511,70.734,10.162,144.905
4357,30/06/2016 12:00,0.00153,0.00631,0.00802,0.094,0.03622,N,MS,4.129,20.492,MS,11.364,131.901,0,0.00093,0.00536,0.00743,0.144,0.03386,1.263,MS,MS,6.336,128.687,1.526,5.2,6.862,0.16,43.836,4.483,4.483,65.524,10.572,139.929
4358,30/06/2016 13:00,0.00125,0.00387,0.00529,0.08,0.04137,N,MS,5.091,22.725,MS,10.997,165.875,0.00004,0.00017,0.00188,0.00295,0.131,0.03825,1.309,MS,MS,13.365,152.356,1.01,3.6,4.738,0.157,49.445,4.659,4.659,57.049,7.102,159.889
4359,30/06/2016 14:00,0.00031,0.00366,0.00414,0.076,0.04286,N,MS,4.726,21.753,MS,5.042,141.091,0.00009,0.00025,0.00312,0.00423,0.136,0.04083,1.509,MS,MS,9.544,148.576,0.344,3.374,3.833,0.154,48.977,4.046,4.046,62.794,1.692,243.387
4360,30/06/2016 15:00,0.00134,0.00783,0.00933,0.12,0.04094,N,MS,3.872,17.408,MS,10.943,8.962,0.00013,0.00065,0.00867,0.01047,0.173,0.04448,1.943,MS,MS,4.046,275.461,0.432,2.432,3.048,0.145,56.028,2.818,2.818,59.041,8.74,29.275
4361,30/06/2016 16:00,0.00151,0.00587,0.00753,0.103,0.05086,N,MS,3.235,19.978,MS,16.57,14.617,0.00005,0.0016,0.00634,0.00916,0.157,0.04753,1.536,MS,MS,11.883,67.449,0.517,2.522,3.2,0.14,57.049,2.351,2.351,52.005,7.348,32.77
4362,30/06/2016 17:00,0.00068,0.00402,0.00488,0.088,0.05113,N,MS,2.563,19.809,MS,11.119,81.836,0.00009,0.00048,0.00437,0.00595,0.132,0.04779,1.019,MS,MS,11.444,75.82,0.457,2.363,3.007,0.139,61.585,2.084,2.084,41.771,2.332,137.728
4363,30/06/2016 18:00,0.00057,0.00305,0.00378,0.072,0.05014,N,MS,2.459,19.305,MS,10.733,111.331,0.00009,0.00018,0.00264,0.00373,0.124,0.04814,1.204,MS,MS,11.177,95.465,0.777,4.204,5.148,0.158,57.814,2.44,2.44,49.133,5.832,157.729
4364,30/06/2016 19:00,0.00035,0.00284,0.00331,0.069,0.05408,N,MS,1.949,18.459,MS,9.25,117.24,0.00003,-0.00025,0.00184,0.00269,0.12,0.05361,1.056,MS,MS,11.011,90.842,0.75,5.264,6.159,0.159,53.423,2.726,2.726,57.348,7.083,129.959
4365,30/06/2016 20:00,0.00011,0.00294,0.0032,0.067,0.05514,N,MS,1.617,17.365,MS,6.493,105.366,0.00007,-0.00058,0.00199,0.00266,0.119,0.05151,1.035,MS,MS,7.089,102.938,0.339,4.545,5.046,0.153,54.27,2.274,2.274,65.03,5.216,109.74
4366,30/06/2016 21:00,0.00001,0.0061,0.00625,0.099,0.04984,N,MS,1.773,16.802,MS,4.064,56.717,0.00014,-0.00052,0.00658,0.0073,0.127,0.04563,1.185,MS,MS,4.012,59.819,0.219,5.365,5.718,0.157,52.944,2.046,2.046,72.592,3.119,57.111
4367,30/06/2016 22:00,0.00001,0.00809,0.0082,0.12,0.04565,N,MS,2.259,16.173,MS,7.396,9.373,0.00005,-0.00045,0.00996,0.01059,0.148,0.04075,1.824,MS,MS,3.732,42.569,0.16,4.344,4.636,0.152,50.987,2.127,2.127,78.672,6.224,28.089
4368,30/06/2016 23:00,0,0.01126,0.01138,0.151,0.03681,N,MS,2.213,15.258,MS,3.095,343.288,0.00004,-0.00043,0.0123,0.0129,0.178,0.03103,2.604,MS,MS,2.026,121.293,0.138,3.981,4.302,0.144,50.45,2.179,2.179,81.014,3.095,16.901
4369,01/07/2016 0:00,0.0007,0.00984,0.01066,0.123,0.03249,N,MS,3.144,13.734,MS,1.528,269.887,0.00012,-0.0007,0.00971,0.01041,0.187,0.02938,3.333,MS,MS,6.489,214.809,-0.002,4.246,4.47,0.155,45.056,3.023,3.023,83.691,3.847,277.281
4370,01/07/2016 1:00,0.00036,0.01385,0.01437,0.115,0.02374,N,MS,4.589,12.91,MS,1.652,224.059,0.00018,-0.00072,0.00898,0.00959,0.185,0.02675,2.716,MS,MS,5.629,235.039,0.036,4.713,4.96,0.157,39.647,3.571,3.571,88.521,2.777,289.929
4371,01/07/2016 2:00,0.00009,0.01385,0.01408,0.102,0.02198,N,MS,4.577,13.143,MS,1.318,236.38,Z,Z,Z,Z,Z,Z,1.965,MS,MS,4.536,254.672,0.057,5.778,6.04,0.148,34.493,3.802,3.802,91.654,2.892,330.95
