3192,13/05/2019 23:00,0.00005,0.00754,0.00759,0.192,0.04234,MS,MS,6.751,14.22,52.968,3.747,125.774,0.00019,0.00005,0.00811,0.00817,0.144,0.03548,9.645,13.652,61.405,4.48,109.258,0.06,11.587,11.647,0.203,37.355,MS,7.825,47.423,4.155,91.34
3193,14/05/2019 0:00,0.00149,0.0116,0.01308,0.188,0.03449,MS,MS,10.773,13.582,58.186,5.215,142.365,0.00016,0.00004,0.00555,0.00559,0.146,0.03636,9.401,13.298,65.861,6.963,136.033,0.05,8.497,8.547,0.181,39.22,MS,7.694,52.358,5.808,134.113
3194,14/05/2019 1:00,0.00009,0.00915,0.00924,0.187,0.03125,MS,MS,10.518,12.544,65.584,3.268,106.349,0.00008,0.00006,0.00618,0.00624,0.143,0.03287,9.764,12.533,71.93,8.028,126.808,0.041,7.362,7.404,0.17,38.873,MS,7.517,54.803,4.194,127.851
3195,14/05/2019 2:00,0.00011,0.00944,0.00955,0.186,0.03117,MS,MS,9.859,12.339,67.267,1.692,152.899,Z,Z,Z,Z,Z,Z,9.16,11.514,76.919,7.714,152.65,0.071,9.672,9.745,0.18,32.474,MS,8.587,57.78,3.942,121.957
3196,14/05/2019 3:00,0.00014,0.01156,0.0117,0.187,0.02486,MS,MS,10.009,11.408,73.254,2.021,93.726,0.00015,0.00008,0.00419,0.00427,0.149,0.03433,7.744,10.644,80.011,4.545,152.027,0.069,12.2,12.272,0.181,24.185,MS,7.942,64.878,3.366,302.636
3197,14/05/2019 4:00,0.00014,0.00975,0.00989,0.169,0.02286,MS,MS,7.849,10.361,78.862,5.337,81.768,0.00014,0.00013,0.00829,0.00842,0.163,0.02854,8.708,10.194,83.946,4.87,118.704,0.092,7.931,8.025,0.166,22.483,MS,8.018,71.949,3.177,321.079
3198,14/05/2019 5:00,0.00017,0.01214,0.01231,0.238,0.02393,MS,MS,5.894,9.658,82.395,3.198,106.877,0.00018,0.00022,0.00798,0.00819,0.161,0.02621,8.109,9.53,89.277,3.582,125.728,0.147,9.866,10.015,0.165,18.279,MS,7.621,77.819,2.028,31.009
3199,14/05/2019 6:00,0.00128,0.02031,0.02161,0.217,0.01533,MS,MS,7.947,9.556,83.193,0.384,223.556,0.00043,0.00116,0.01333,0.01449,0.212,0.01612,9.778,9.374,85.006,4.577,206.014,0.588,13.357,13.946,0.174,13.469,MS,8.364,77.661,4.575,297.578
3200,14/05/2019 7:00,Z,Z,Z,Z,Z,MS,MS,10.754,10.706,78.163,3.822,1.705,0.00051,0.00467,0.01469,0.01936,0.243,0.01437,10.813,10.661,77.173,3.139,176.234,2.745,15.542,18.288,0.217,11.151,MS,9.006,74.613,3.746,292.251
3201,14/05/2019 8:00,0.00786,0.01692,0.02479,0.252,0.01621,MS,MS,11.104,11.589,66.945,8.143,330.712,0.00043,0.00537,0.01402,0.01938,0.241,0.01613,11.387,11.329,73.757,3.644,218.252,4.05,14.567,18.618,0.225,14.043,MS,8.363,66.341,3.161,296.522
3202,14/05/2019 9:00,0.01095,0.0181,0.02905,0.261,0.01943,MS,MS,13.991,12.777,61.738,2.253,6.507,0.00053,0.00573,0.01172,0.01746,0.235,0.02166,11.531,13.165,64.064,3.05,198.723,5.392,14.649,20.042,0.227,17.302,MS,3.888,60.96,2.62,304.502
3203,14/05/2019 10:00,0.00435,0.00939,0.01373,0.207,0.04081,MS,MS,10.718,14.282,57.751,9.152,157.934,0.00043,0.00127,0.00444,0.00572,0.166,0.0425,7.079,14.915,61.175,10.448,151.788,2.999,11.52,14.52,0.22,33.231,MS,3.332,55.107,9.832,142.024
3204,14/05/2019 11:00,0.0011,0.00416,0.00526,0.165,0.04834,MS,MS,7.721,15.483,56.934,9.66,150.52,0.00021,0.00059,0.00254,0.00312,0.151,0.04857,4.773,16.213,59.374,15.039,140.579,0.658,4.878,5.536,0.176,47.087,MS,4.07,55.079,12.243,153.33
3205,14/05/2019 12:00,0.00118,0.00338,0.00455,0.171,0.05148,MS,MS,6.377,16.616,53.408,10.222,142.769,0.00015,0.00048,0.00242,0.0029,0.152,0.04932,5.466,17.309,56.006,13.249,135.069,0.616,4.212,4.827,0.173,49.948,MS,4.825,51.145,10.576,144.767
3206,14/05/2019 13:00,0.00204,0.00414,0.00616,0.191,0.05116,MS,MS,7.452,17.875,47.087,10.043,133.456,0.00016,0.00041,0.00233,0.00274,0.153,0.04914,6.247,18.798,49.173,10.943,134.052,0.587,4.169,4.756,0.169,51.915,MS,5.086,45.939,10.744,138.903
3207,14/05/2019 14:00,0.00096,0.00322,0.00419,0.167,0.05236,MS,MS,8.067,18.9,41.052,9.277,145.059,0.00025,0.00045,0.00296,0.00341,0.152,0.04957,6.023,19.375,43.293,9.973,131.294,0.574,4.647,5.219,0.173,49.667,MS,6.214,42.154,9.556,135.063
3208,14/05/2019 15:00,0.00092,0.00361,0.00452,0.156,0.05323,MS,MS,7.842,19.383,37.104,8.876,155.12,0.00023,0.00031,0.00275,0.00306,0.156,0.05172,5.253,19.806,40.028,7.546,138.3,0.385,3.949,4.332,0.18,51.023,MS,6.614,38.763,8.523,148.854
3209,14/05/2019 16:00,0.00223,0.00564,0.00787,0.161,0.0537,MS,MS,10.684,20.106,34.657,7.537,140.309,0.00017,0.00026,0.00243,0.0027,0.151,0.05351,4.924,20.622,36.905,8.224,139.467,0.344,4.115,4.457,0.181,52.522,MS,6.574,36.023,6.8,135.557
3210,14/05/2019 17:00,0.00086,0.00462,0.00548,0.149,0.05259,MS,MS,7.157,18.686,42.192,0.994,26.542,0.00018,0.00032,0.00301,0.00333,0.163,0.05108,4.608,20.598,36.71,7.828,154.394,0.249,4.09,4.336,0.175,49.815,MS,7.407,42.795,0.571,310.943
3211,14/05/2019 18:00,0.00117,0.01016,0.01132,0.262,0.04217,MS,MS,7.051,17.863,50.946,7.761,358.429,0.00022,0.00058,0.00712,0.0077,0.183,0.0459,6.7,20.251,38.124,4.728,82.177,0.309,5.845,6.15,0.209,44.001,MS,10.006,52.338,6.386,2.068
3212,14/05/2019 19:00,0.00091,0.01521,0.01612,0.262,0.03558,MS,MS,6.549,17.085,53.232,8.271,340.21,0.00025,0.00047,0.00884,0.00931,0.19,0.04208,7.228,19.763,40.213,1.238,72.274,0.236,7.549,7.782,0.237,40.841,MS,9.245,52.204,4.176,348.509
3213,14/05/2019 20:00,0.00037,0.01345,0.01382,0.253,0.03712,MS,MS,7.39,16.475,53.888,5.534,333.393,0.00076,0.00048,0.00914,0.00962,0.215,0.04223,5.924,18.516,38.685,9.648,261.7,0.132,9.205,9.333,0.252,36.422,MS,9.832,53.646,2.1,287.059
3214,14/05/2019 21:00,0.00012,0.01695,0.01708,0.324,0.02654,MS,MS,8.477,15.395,63.425,2.915,327.635,0.00058,0.00023,0.00783,0.00806,0.186,0.04256,5.634,18.065,35.796,7.919,272.733,0.076,12.846,12.918,0.281,31.474,MS,10.689,56.069,4.162,294.442
3215,14/05/2019 22:00,0.00012,0.02132,0.02144,0.342,0.02458,MS,MS,8.634,15.276,59.832,4.961,33.953,0.00038,0.00024,0.01226,0.0125,0.209,0.03673,7.039,17.164,41.456,3.427,285.657,0.045,7.397,7.438,0.265,36.613,MS,7.071,47.699,3.856,300.752
3216,14/05/2019 23:00,0.00007,0.00539,0.00546,0.157,0.04182,MS,MS,5.878,13.88,66.998,6.557,48.637,0.00002,0.00005,0.00519,0.00524,0.155,0.03914,7.945,13.934,71.94,11.143,41.549,0.034,4.032,4.065,0.17,41.966,MS,4.431,44.306,2.938,287.703
3217,15/05/2019 0:00,0.00005,0.00536,0.00541,0.159,0.04047,MS,MS,5.867,13.091,72.744,3.844,52.761,0.00003,0.00015,0.00708,0.00723,0.151,0.03538,8.717,12.868,80.773,4.807,39.229,0.036,3.388,3.416,0.168,42.009,MS,4.525,46.245,2.787,299.283
3218,15/05/2019 1:00,0.00004,0.00435,0.00439,0.153,0.03974,MS,MS,5.754,12.272,77.737,4.255,69.099,0.00012,0.00014,0.00608,0.00623,0.15,0.03603,7.883,12.531,82.103,6.517,24.591,0.063,8.422,8.472,0.177,34.957,MS,6.605,62.053,2.724,103.996
3219,15/05/2019 2:00,0.00005,0.00432,0.00437,0.148,0.03637,MS,MS,6.459,11.548,82.542,1.474,91.826,Z,Z,Z,Z,Z,Z,9.373,11.696,89.029,1.608,80.908,0.065,10.129,10.189,0.189,27.415,MS,6.509,70.492,0.949,33.137
3220,15/05/2019 3:00,0.00006,0.0056,0.00566,0.153,0.02974,MS,MS,8.003,10.894,88.102,0.938,133.476,0.00018,0.00038,0.01759,0.01797,0.161,0.02151,10.405,11.732,88.712,1.974,50.389,0.07,8.856,8.919,0.196,25.995,MS,6.293,72.374,1.07,332.068
3221,15/05/2019 4:00,0.00024,0.01352,0.01375,0.174,0.01984,MS,MS,9.249,10.929,90.574,7.498,333.697,0.00035,0.00278,0.0286,0.03139,0.195,0.00998,14.554,11.777,90.616,6.639,334.292,0.128,7.843,7.969,0.182,27.061,MS,4.762,67.76,4.741,339.123
3222,15/05/2019 5:00,0.00058,0.0149,0.01548,0.18,0.02465,MS,MS,6.219,10.698,87.107,9.764,328.571,0.00053,0.00089,0.01955,0.02044,0.202,0.0194,9.179,11.924,84.66,8.652,335.216,0.078,6.471,6.544,0.174,31.836,MS,2.821,75.699,6.78,304.764
3223,15/05/2019 6:00,0.00059,0.00743,0.00801,0.157,0.03588,MS,MS,2.105,10.894,74.831,9.742,301.512,0.00034,0.00103,0.01182,0.01285,0.188,0.03023,3.751,11.579,74.753,8.659,298.307,0.308,5.986,6.287,0.178,35.058,MS,1.737,69.378,8.119,289.351
3224,15/05/2019 7:00,0.00319,0.01181,0.01498,0.168,0.03249,MS,MS,2.484,12.398,65.77,11.188,293.898,0.00067,0.00241,0.0104,0.01281,0.204,0.03269,3.602,12.615,64.96,9.652,285.628,0.672,5.413,6.078,0.188,34.339,MS,2.079,66.958,9.216,294.909
3225,15/05/2019 8:00,0.00171,0.00634,0.00805,0.158,0.03704,MS,MS,2.077,13.371,56.064,14.314,310.932,0.00095,0.00281,0.00802,0.01083,0.227,0.03632,2.648,14.172,48.244,12.724,310.388,0.811,4.653,5.457,0.173,34.692,MS,1.266,53.232,11.234,310.025
3226,15/05/2019 9:00,0.00256,0.00579,0.00835,0.173,0.03536,MS,MS,9.213,13.356,67.812,16.437,10.011,0.00076,0.00302,0.00743,0.01044,0.178,0.03736,8.202,14.768,54.369,14.471,352.273,0.632,3.578,4.202,0.167,36.983,MS,2.556,59.708,11.897,15.684
3227,15/05/2019 10:00,0.00167,0.00395,0.00562,0.165,0.03926,MS,MS,7.887,14.349,58.103,17.278,5.551,0.00049,0.00244,0.00572,0.00816,0.172,0.03941,7.921,15.191,52.911,14.598,348.145,0.573,2.96,3.525,0.165,38.297,MS,2.042,52.746,12.626,359.55
3228,15/05/2019 11:00,0.00227,0.00445,0.00672,0.167,0.03578,MS,MS,7.296,14.123,59.046,23.071,14.425,0.00053,0.00171,0.00655,0.00826,0.179,0.03254,10.606,15.758,53.768,D,D,0.502,2.826,3.32,0.167,34.775,MS,2.411,56.863,16.582,11.574
3229,15/05/2019 12:00,0.00162,0.00405,0.00567,0.155,0.03716,MS,MS,5.779,14.119,53.436,21.416,9.971,0.0004,0.00183,0.00593,0.00777,0.182,0.0318,10.047,15.291,51.872,20.024,5.462,0.373,2.535,2.9,0.161,35.716,MS,2.627,50.374,14.389,10.077
3230,15/05/2019 13:00,0.00141,0.00346,0.00488,0.134,0.04126,MS,MS,4.084,15.315,43.448,22.152,12.439,0.00038,0.00214,0.00408,0.00623,0.168,0.0393,7.77,16.544,42.191,19.919,20.591,0.261,2.136,2.389,0.151,38.562,MS,2.282,44.259,15.894,31.768
3231,15/05/2019 14:00,0.00107,0.0032,0.00426,0.134,0.04242,MS,MS,4.341,15.478,42.981,20.812,29.477,C,0.00239,0.00452,0.0069,0.16,0.03972,7.551,16.852,40.717,20.799,20.684,0.243,2.085,2.319,0.148,39.792,MS,3.147,43.075,16.462,22.45
3232,15/05/2019 15:00,0.00108,0.00331,0.00439,0.132,0.04125,MS,MS,3.355,15.85,40.49,19.951,31.181,C,0.00254,0.00526,0.0078,0.166,0.03803,7.887,16.381,41.439,19.941,24.321,0.352,2.376,2.72,0.15,39.361,MS,2.266,39.921,15.643,33.676
3233,15/05/2019 16:00,0.00055,0.00327,0.00383,0.138,0.04179,MS,MS,3.857,14.794,45.211,20.414,48.017,C,0.0012,0.00435,0.00555,0.178,0.03944,7.435,15.509,45.938,20.414,40.179,0.279,2.827,3.096,0.152,40.085,MS,3.131,42.424,13.361,46.474
3234,15/05/2019 17:00,0.00039,0.0037,0.00409,0.151,0.04244,MS,MS,5.633,13.812,50.378,21.456,53.455,C,0.00097,0.00553,0.00649,0.153,0.0396,8.991,14.363,51.313,19.194,45.704,0.219,3.685,3.895,0.158,40.301,MS,3.618,50.061,15.668,61.983
3235,15/05/2019 18:00,0.00026,0.00365,0.00392,0.155,0.04138,MS,MS,6.737,12.71,54.963,20.752,59.346,-0.00016,0.00058,0.00526,0.00584,0.149,0.03871,8.613,13.365,55.336,18.459,49.134,0.188,4.491,4.669,0.167,38.81,MS,3.177,56.617,13.57,73.009
3236,15/05/2019 19:00,0.00019,0.00312,0.00331,0.151,0.03977,MS,MS,7.447,11.973,57.131,18.839,60.547,-0.00016,0.00076,0.00594,0.00669,0.145,0.03561,8.01,12.533,58.482,15.38,53.875,0.139,3.746,3.875,0.16,37.184,MS,3.687,59.123,12.742,69.337
3237,15/05/2019 20:00,0.00013,0.00294,0.00307,0.15,0.03715,MS,MS,6.799,10.965,63.388,19.773,76.22,-0.00015,0.00054,0.00593,0.00647,0.144,0.03291,7.902,11.511,64.882,15.178,68.05,0.126,3.81,3.927,0.161,35.743,MS,3.328,62.079,11.216,81.758
3238,15/05/2019 21:00,0.00007,0.00274,0.00282,0.148,0.03461,MS,MS,4.065,9.742,70.637,16.954,79.949,-0.00019,0.00048,0.0064,0.00687,0.145,0.02914,4.858,10.322,73.291,11.656,67.997,0.102,3.53,3.622,0.155,33.084,MS,2.715,68.011,11.268,89.8
3239,15/05/2019 22:00,0.00007,0.00345,0.00352,0.146,0.03261,MS,MS,5.339,9.209,73.469,11.851,97.366,-0.00009,0.00012,0.00434,0.00446,0.142,0.03005,5.391,9.498,79.152,13.723,96.275,0.124,3.469,3.582,0.151,33.826,MS,2.548,66.625,7.656,104.137
3240,15/05/2019 23:00,0.00007,0.00302,0.00309,0.144,0.03246,MS,MS,4.162,8.455,80.318,10.49,119.92,-0.0001,0.00005,0.00256,0.0026,0.141,0.03042,5.069,8.504,89.15,12.144,127.747,0.098,3.77,3.857,0.148,31.219,MS,3.512,73.3,8.878,112.765
3241,16/05/2019 0:00,0.00025,0.0031,0.00334,0.148,0.03209,MS,MS,3.332,7.92,82.751,7.878,121.825,-0.00015,0.00002,0.00315,0.00317,0.142,0.02784,5.554,7.77,99.135,9.067,126.85,0.054,3.472,3.516,0.147,31.895,MS,1.375,77.411,8.617,125.366
3242,16/05/2019 1:00,0.00007,0.00307,0.00315,0.147,0.03156,MS,MS,3.427,7.527,85.598,10.106,130.481,-0.00021,0,0.00258,0.00258,0.141,0.02861,4.15,7.623,99.754,13.482,139.327,0.041,3.671,3.702,0.153,31.991,MS,1.455,79.582,9.063,136.587
3243,16/05/2019 2:00,0.00004,0.00235,0.00239,0.148,0.03162,MS,MS,2.481,6.762,92.264,10.891,111.799,Z,Z,Z,Z,Z,Z,3.769,7.092,100.098,12.808,121.446,0.074,3.521,3.584,0.162,30.837,MS,0.978,87.674,8.932,126.673
3244,16/05/2019 3:00,0.00005,0.00304,0.00309,0.153,0.02816,MS,MS,2.645,6.412,95.773,8.844,108.205,-0.00018,0.00003,0.00349,0.00352,0.144,0.02717,3.23,6.693,100.1,12.237,125.925,0.13,3.05,3.169,0.165,29.409,MS,0.548,89.933,8.922,111.76
3245,16/05/2019 4:00,0.00005,0.00324,0.00329,0.157,0.02931,MS,MS,2.404,6.316,93.157,9.22,106.312,-0.00019,0.00004,0.00354,0.00358,0.146,0.0266,2.95,6.55,100.1,9.297,120.444,0.109,3.707,3.805,0.16,28.53,MS,0.555,89.549,8.591,111.514
3246,16/05/2019 5:00,0.00008,0.00487,0.00495,0.154,0.02853,MS,MS,2.215,6.254,91.823,10.154,114.314,-0.00011,0.00017,0.00402,0.0042,0.149,0.02706,3.307,6.433,100.1,11.735,115.587,0.104,4.106,4.199,0.154,28.404,MS,0.466,87.565,8.783,121.042
3247,16/05/2019 6:00,0.00067,0.007,0.00767,0.17,0.02717,MS,MS,2.566,6.209,90.397,10.912,124.904,-0.00016,0.00042,0.00491,0.00532,0.153,0.02534,3.262,6.265,100.1,12.99,130.061,0.249,7.007,7.246,0.169,26.995,MS,0.715,87.338,9.916,132.099
3248,16/05/2019 7:00,0.00249,0.00871,0.0112,0.171,0.02229,MS,MS,2.868,6.193,93.197,10.193,122.468,-0.00006,0.0014,0.00651,0.00791,0.157,0.02105,4.458,6.343,100.1,12.574,123.197,0.576,9.125,9.691,0.181,24.599,MS,0.993,86.681,10.828,144.454
3249,16/05/2019 8:00,0.00156,0.00547,0.00704,0.183,0.02694,MS,MS,2.641,6.321,87.293,12.044,117.304,-0.00009,0.00202,0.00671,0.00873,0.157,0.02574,5.33,6.722,96.009,15.351,115.501,0.783,9.051,9.824,0.181,23.131,MS,0.794,85.996,10.074,124.581
3250,16/05/2019 9:00,0.00101,0.00386,0.00487,0.142,0.03367,MS,MS,2.818,6.736,77.792,14.588,124.68,-0.00013,C,C,C,0.156,0.02997,5.164,7.144,86.008,17.009,119.729,0.883,6.984,7.858,0.164,28.849,MS,0.649,77.451,12.979,130.392
3251,16/05/2019 10:00,0.00105,0.0036,0.00464,0.147,0.0344,MS,MS,3.269,7.19,69.889,16.069,125.962,-0.00003,C,C,C,0.145,0.03146,4.822,7.595,75.932,18.647,124.111,0.521,5.238,5.75,0.161,31.159,MS,0.685,72.941,13.154,131.283
3252,16/05/2019 11:00,0.00155,0.00594,0.00749,0.153,0.03141,MS,MS,4.191,7.377,69.065,15.463,131.759,-0.00002,C,C,C,0.148,0.03199,3.625,7.651,76.62,20.955,134.261,0.772,7.047,7.81,0.17,29.671,MS,1.033,68.715,11.067,131.048
3253,16/05/2019 12:00,0.0012,0.00499,0.00619,0.143,0.03102,MS,MS,3.781,7.126,74.132,13.832,141.154,-0.00015,C,C,C,0.142,0.03149,3.409,7.175,83.842,21.656,136.348,0.651,5.92,6.563,0.171,29.551,MS,1.149,71.177,12.435,137.757
3254,16/05/2019 13:00,0.00182,0.00546,0.00728,0.16,0.02722,MS,MS,5.453,6.773,83.699,13.254,146.538,-0.00011,C,C,C,0.151,C,4.698,6.749,97.211,19.028,144.644,0.771,5.637,6.402,0.173,28.357,MS,1.444,77.627,13.854,145.323
3255,16/05/2019 14:00,0.00279,0.0086,0.01139,0.187,0.02207,MS,MS,8.47,6.905,88.5,8.082,169.506,-0.00005,0.00149,0.00528,0.00678,0.145,C,5.287,7.124,99.18,10.859,163.328,1.212,6.926,8.13,0.191,23.193,MS,2.122,84.976,10.291,151.189
3256,16/05/2019 15:00,0.00189,0.00689,0.00878,0.179,0.0247,MS,MS,6.119,7.364,83.923,7.237,202.031,0,0.00139,0.00609,0.00748,0.163,C,4.254,7.781,92.755,8.115,204.729,1.474,6.786,8.254,0.196,23.713,MS,2.216,82.755,8.184,159.681
3257,16/05/2019 16:00,0.00234,0.00672,0.00906,0.177,0.02752,MS,MS,5.855,7.862,78.803,4.588,199.439,0.00004,0.00102,0.00543,0.00645,0.164,0.02841,4.78,8.456,83.187,3.929,205.727,1.045,7.661,8.699,0.181,25.446,MS,2.029,77.621,5.433,189.289
3258,16/05/2019 17:00,0.0014,0.00919,0.01059,0.197,0.02522,MS,MS,8.441,8.433,75.854,2.189,222.525,-0.00003,0.00085,0.00664,0.00749,0.171,0.02724,5.252,8.51,83.031,6.366,244.269,2.34,8.638,10.971,0.184,25.17,MS,2.153,75.412,5.276,227.439
3259,16/05/2019 18:00,0.00147,0.01086,0.01233,0.199,0.02303,MS,MS,9.254,8.364,78.131,4.68,262.322,-0.00006,0.00093,0.00697,0.0079,0.172,0.02685,5.337,8.291,85.426,7.781,259.92,0.495,5.982,6.472,0.181,26.901,MS,2.244,76.157,4.723,235.34
3260,16/05/2019 19:00,0.00099,0.01067,0.01167,0.188,0.02195,MS,MS,8.713,8.145,80.41,4.415,258.633,-0.00003,0.00086,0.00782,0.00868,0.182,0.02522,5.453,8.184,87.041,8.355,271.814,0.192,5.155,5.342,0.18,25.999,MS,2.143,77.42,4.989,279.447
3261,16/05/2019 20:00,0.00125,0.01261,0.01386,0.19,0.01979,MS,MS,8.139,7.871,81.035,5.651,258.401,0.00005,0.00047,0.00626,0.00674,0.189,0.02595,5.379,7.939,88.725,8.425,279.872,0.115,4.721,4.83,0.174,24.957,MS,2.007,80.121,5.548,285.532
3262,16/05/2019 21:00,0.00029,0.01077,0.01106,0.178,0.02194,MS,MS,6.883,7.424,83.691,4.511,284.53,0.00003,0.00031,0.00677,0.00708,0.171,0.02557,5.395,7.492,93.444,6.059,288.535,0.085,5.526,5.606,0.185,23.522,MS,2.077,83.004,4.054,294.994
3263,16/05/2019 22:00,0.00028,0.01218,0.01246,0.204,0.01846,MS,MS,7.406,6.995,92.411,2.939,248.754,0.00011,0.00037,0.0075,0.00787,0.185,0.02279,6.117,6.898,100.1,6.511,269.943,0.099,6.406,6.501,0.185,20.917,MS,2.366,87.451,3.477,293.373
3264,16/05/2019 23:00,0.00022,0.01261,0.01283,0.209,0.01698,MS,MS,7.396,6.823,93.714,2.322,284.221,0.00012,0.00056,0.00839,0.00895,0.212,0.02191,6.103,6.835,100.1,6.246,278.138,0.061,6.702,6.758,0.182,19.134,MS,2.536,90.209,3.533,304.659
3265,17/05/2019 0:00,0.00571,0.02476,0.03048,0.226,0.00821,MS,MS,7.488,6.77,93.35,3.421,262.804,0.00015,0.00039,0.00642,0.00681,0.159,0.02358,5.636,6.438,100.1,7.193,252.264,0.054,4.953,5.002,0.174,20.902,MS,2.52,91.21,5.98,288.388
3266,17/05/2019 1:00,0.00024,0.00845,0.00868,0.16,0.02488,MS,MS,5.185,6.421,88.915,4.765,251.746,0.00012,0.0005,0.00533,0.00583,0.154,0.02615,5.585,6.331,99.47,7.316,267.805,0.057,4.443,4.496,0.165,21.932,MS,2.184,91.212,4.87,271.382
3267,17/05/2019 2:00,0.00011,0.00896,0.00907,0.147,0.02376,MS,MS,4.781,6.372,86.109,1.458,267.22,Z,Z,Z,Z,Z,Z,6.736,6.317,100.011,3.274,276.048,0.069,3.994,4.059,0.155,24.439,MS,1.382,87.041,4.071,317.181
3268,17/05/2019 3:00,0.00018,0.01256,0.01273,0.159,0.01895,MS,MS,5.635,6.075,89.551,2.321,238.532,0.00014,0.00012,0.00603,0.00615,0.157,0.02441,6.544,6.066,100.1,3.36,267.063,0.051,3.969,4.016,0.155,23.125,MS,1.427,88.574,4.131,307.394
3269,17/05/2019 4:00,0.00011,0.01587,0.01597,0.16,0.01548,MS,MS,4.958,5.754,91.741,4.179,134.699,0.00005,0.0003,0.00702,0.00732,0.138,0.02284,5.083,5.535,100.1,8.498,134.992,0.064,5.2,5.261,0.149,22.735,MS,1.312,88.435,1.636,325.732
3270,17/05/2019 5:00,0.00048,0.00793,0.00842,0.141,0.02551,MS,MS,2.301,4.538,93.861,8.193,142.048,0.00007,0.00004,0.0023,0.00233,0.128,0.02824,2.135,4.505,100.1,11.707,137.895,0.102,4.613,4.712,0.147,27.585,MS,0.726,89.148,7.215,145.897
3271,17/05/2019 6:00,0.0043,0.01064,0.01494,0.156,0.02581,MS,MS,3.112,4.103,98.325,7.512,145.993,0.00009,0.00017,0.00302,0.0032,0.137,0.03072,3.052,4.247,100.1,11.105,136.933,0.155,4.909,5.062,0.157,29.973,MS,0.487,89.653,10.408,144.646
3272,17/05/2019 7:00,0.0046,0.01106,0.01566,0.182,0.0269,MS,MS,3.775,4.251,100.019,9.488,141.752,0.00006,0.00079,0.0041,0.00489,0.142,0.02958,4.104,4.391,100.097,13.887,135.264,0.34,6.288,6.627,0.216,30.49,MS,0.687,91.977,10.968,148.68
3273,17/05/2019 8:00,0.00084,0.00801,0.00885,0.167,0.02957,MS,MS,4.246,4.444,99.17,10.561,141.758,0.00009,0.00093,0.00432,0.00525,0.136,0.03015,4.863,4.612,100.094,15.297,135.054,0.678,7.655,8.332,0.17,31.335,MS,1.172,90.936,13.276,142.937
3274,17/05/2019 9:00,0.00109,0.00651,0.00759,0.166,0.03097,MS,MS,4.733,4.392,98.08,11.472,123.53,0.00005,0.00094,0.00472,0.00566,0.141,0.03204,4.729,4.568,100.099,14.188,123.362,0.834,8.725,9.558,0.173,28,MS,3.116,91.397,9.159,131.081
3275,17/05/2019 10:00,0.00382,0.01297,0.01679,0.18,0.027,MS,MS,7.396,4.407,98.067,6.272,139.022,0.00009,0.00102,0.00503,0.00605,0.135,0.03129,5.803,4.711,100.1,11.251,132.017,1.23,9.809,11.04,0.17,28.892,MS,2.825,90.252,8.737,128.839
3276,17/05/2019 11:00,0.00211,0.0078,0.00991,0.17,0.03111,MS,MS,6.299,5.363,96.539,8.681,128.55,0.00019,0.00188,0.00607,0.00795,0.147,0.02942,5.342,5.6,100.1,10.032,123.428,1.655,12.116,13.773,0.194,25.946,MS,3.593,90.299,5.784,158.619
3277,17/05/2019 12:00,0.00217,0.00673,0.00891,0.178,0.03266,MS,MS,7.258,5.887,94.327,9.27,149.027,0.00012,0.00136,0.00423,0.00559,0.144,0.03337,7.285,6.312,99.979,12.354,143.742,1.245,10.599,11.846,0.196,28.086,MS,4.33,88.37,9.309,150.872
3278,17/05/2019 13:00,0.00216,0.00664,0.0088,0.216,0.03573,MS,MS,7.243,6.774,87.511,8.991,128.891,0.00013,0.00099,0.00435,0.00533,0.148,0.0375,7.513,6.741,99.208,11.901,121.176,3.108,11.863,14.973,0.182,28.699,MS,4.078,83.532,7.309,154.724
3279,17/05/2019 14:00,0.00154,0.00505,0.00659,0.17,0.0372,MS,MS,5.702,6.069,89.545,12.84,130.69,0.00025,0.00115,0.00436,0.00552,0.146,0.03316,5.726,5.967,100.1,13.571,129.032,0.65,6.772,7.425,0.174,36.517,MS,5.298,82.078,12.272,132.019
3280,17/05/2019 15:00,0.00201,0.00581,0.00781,0.179,0.03527,MS,MS,5.382,5.898,90.429,9.968,132.792,0.00013,0.00149,0.00449,0.00598,0.143,0.03603,4.898,5.851,100.1,15.301,132.113,1.196,7.163,8.362,0.182,33.575,MS,4.996,84.442,10.154,142.607
3281,17/05/2019 16:00,0.00507,0.00998,0.01503,0.222,0.03428,MS,MS,5.683,5.748,92.054,6.957,133.874,0.0001,0.00057,0.00296,0.00353,0.145,0.04018,5.3,5.774,100.1,11.049,137.254,0.887,7.59,8.481,0.182,33.283,MS,4.286,85.482,7.886,134.479
3282,17/05/2019 17:00,0.00241,0.00699,0.00941,0.162,0.03741,MS,MS,4.373,5.185,91.02,5.697,163.007,0.00017,0.00034,0.00287,0.00321,0.141,0.03903,4.793,5.227,100.1,7.73,141.306,0.729,7.004,7.737,0.188,35.352,MS,5.198,86.619,8.515,150.284
3283,17/05/2019 18:00,0.00081,0.0077,0.00851,0.154,0.03628,MS,MS,3.9,5.002,92.564,5.649,175.832,0.0001,0.00022,0.00235,0.00257,0.142,0.04093,4.213,4.994,100.1,11.028,151.425,0.441,7.031,7.478,0.177,35.598,MS,3.135,86.282,5.365,168.51
