3813,08/06/2022 20:00,0.00021,0.00311,0.00332,0.13,0.0437,MS,MS,1.422,19.486,25.676,10.713,270.6,-0.00052,C,C,C,0.132,0.04388,-0.237,19.525,25.612,12.82,263.053,0.076,1.845,1.918,0.085,44.251,MS,2.664,27.546,12.167,290.736
3814,08/06/2022 21:00,0.00049,0.00823,0.00872,0.137,0.03608,MS,MS,1.648,18.16,30.317,12.25,280.65,-0.00042,C,C,C,0.129,0.03957,-0.048,18.26,30.208,13.786,258.936,0.046,2.23,2.272,0.086,41.801,MS,2.579,31.472,8.011,311.204
3815,08/06/2022 22:00,0.00002,0.00398,0.004,0.128,0.03967,MS,MS,1.442,16.771,34.059,10.02,297.634,-0.00031,C,C,C,0.139,0.03592,0.136,16.43,35.96,6.978,279.131,0.005,2.631,2.631,0.088,40.12,MS,2.655,36.72,5.641,286.702
3816,08/06/2022 23:00,0.00009,0.01409,0.01417,0.153,0.02614,MS,MS,3.203,14.536,44.117,2.747,329.373,-0.00019,C,C,C,0.154,0.03014,0.86,14.923,40.146,6.648,264.029,0.023,5.512,5.529,0.11,33.6,MS,3.724,44.514,3.963,311.494
3817,09/06/2022 0:00,0.00005,0.01354,0.01359,0.212,0.02296,MS,MS,4.027,12.875,61.926,2.628,323.593,-0.00003,C,C,C,0.144,0.03094,1.085,13.839,44.188,3.178,286.333,0.032,8.214,8.238,0.108,29.667,MS,3.527,51.576,4.382,317.3
3818,09/06/2022 1:00,0.00004,0.01062,0.01066,0.167,0.0253,MS,MS,3.55,12.248,59.228,5.613,349.821,0.00019,C,C,C,0.156,0.02502,2.369,12.747,49.432,2.257,293.603,0.047,10.296,10.334,0.107,26.897,MS,5.244,53.88,5.322,319.147
3819,09/06/2022 2:00,0.00013,0.01031,0.01043,0.151,0.0246,MS,MS,3.428,11.824,57.066,5.631,334.204,Z,C,C,C,Z,Z,3.949,12.792,50.59,2.707,304.899,0.018,6.068,6.077,0.113,31.193,MS,3.096,53.393,5.385,308.383
3820,09/06/2022 3:00,0.00009,0.0129,0.013,0.171,0.01952,MS,MS,3.873,11.091,67.515,7.943,330.517,0.00045,C,C,C,0.171,0.01608,8.106,12.179,57.063,1.858,311.684,0.046,6.155,6.191,0.124,29.406,MS,3.149,54.502,4.931,314.253
3821,09/06/2022 4:00,Z,Z,Z,Z,Z,MS,MS,3.445,11.182,61.59,6.271,327.057,0.00068,C,C,C,0.181,0.0109,4.74,11.537,61.699,2.768,279.545,Z,Z,Z,Z,Z,MS,3.876,57.987,5.348,315.082
3822,09/06/2022 5:00,0.00265,0.01911,0.02176,0.193,0.01222,MS,MS,4.555,9.661,74.295,1.005,110.691,0.0003,C,C,C,0.164,0.01813,3.905,11.243,58.393,4.715,245.784,0.178,7.432,7.602,0.149,25.475,MS,4.127,60.559,6.284,305.638
3823,09/06/2022 6:00,0.01059,0.02084,0.03144,0.295,0.01037,MS,MS,6.628,11.093,68.844,1.96,355.562,0.00025,C,C,C,0.168,0.02506,3.431,11.555,55.52,6.052,257.893,1.022,6.918,7.928,0.145,25.39,MS,3.889,58.579,6.128,310.969
3824,09/06/2022 7:00,0.00428,0.01037,0.01466,0.193,0.02488,MS,MS,4.067,13.883,50.811,5.915,337.543,0.0003,C,C,C,0.186,0.0254,3.825,13.053,52.105,3.748,264.46,3.934,9.449,13.369,0.164,23.013,MS,3.966,55.886,7.303,305.833
3825,09/06/2022 8:00,0.00333,0.00819,0.01152,0.17,0.03139,MS,MS,3.207,16.201,40.947,8.751,328.83,0.00049,C,C,C,0.368,0.02241,9.794,16.386,40.52,3.22,336.235,3.495,7.451,10.933,0.15,28.857,MS,3.113,46.876,7.937,298.122
3826,09/06/2022 9:00,0.00173,0.0043,0.00603,0.136,0.04039,MS,MS,2.576,18.504,30.28,9.659,300.278,0.00013,C,C,C,0.139,0.03955,3.656,18.433,27.374,9.221,287.094,1.526,4.007,5.52,0.131,37.527,MS,13.008,36.814,7.681,306.258
3827,09/06/2022 10:00,0.00081,0.00228,0.00309,0.116,0.0455,MS,MS,1.791,19.32,25.796,8.229,314.748,0.00007,C,C,C,0.134,0.04538,2.61,19.29,24.442,5.893,301.105,0.527,1.955,2.469,0.112,45.291,MS,5.142,28.03,6.031,311.274
3828,09/06/2022 11:00,0.00053,0.00153,0.00206,0.122,0.04748,MS,MS,1.742,19.943,23.362,2.87,218.089,0.00007,C,C,C,0.122,0.04737,1.3,20.416,23.517,3.854,230.973,0.289,1.249,1.523,0.09,47.62,MS,2.838,23.084,2.106,310.081
3829,09/06/2022 12:00,0.00046,0.00118,0.00164,0.122,0.04843,MS,MS,2.017,20.484,23.387,6.469,183.044,0.00012,C,C,C,0.125,0.04883,1.134,21.096,25.463,7.49,169.79,0.393,1.412,1.791,0.086,46.54,MS,3.486,21.837,5.814,213.937
3830,09/06/2022 13:00,0.0004,0.00157,0.00197,0.128,0.04994,MS,MS,2.466,21.195,24.58,7.79,176.72,0.00012,C,C,C,0.12,0.05035,6.442,21.808,24.555,9.812,169.972,0.357,1.546,1.887,0.088,49.079,MS,3.48,23.724,8.555,170.928
3831,09/06/2022 14:00,0.00054,0.00179,0.00234,0.127,0.05021,MS,MS,2.543,21.736,23.872,9.627,149.687,0.00005,C,C,C,0.122,0.04968,1.27,22.721,23.467,9.678,165.232,0.256,1.75,1.99,0.093,50.583,MS,3.54,24.604,6.846,145.278
3832,09/06/2022 15:00,0.00042,0.00156,0.00198,0.128,0.0505,MS,MS,2.666,22.301,21.76,8.313,162.659,0.00004,C,C,C,0.118,C,0.913,23.176,21.161,11.874,172.202,0.415,2.1,2.499,0.102,49.997,MS,3.738,22.403,6.329,148.532
3833,09/06/2022 16:00,0.00081,0.00202,0.00283,0.122,0.05142,MS,MS,2.786,22.499,19.589,10.542,180.692,0.00005,C,C,C,0.123,C,0.679,22.712,21.188,14.097,186.492,0.572,2.466,3.02,0.094,50.304,MS,5.238,18.823,9.258,211.304
3834,09/06/2022 17:00,0.00058,0.00247,0.00305,0.132,0.04758,MS,MS,2.986,21.681,23.021,11.493,182.76,0.00004,0.00021,0.00238,0.00259,0.122,C,1.046,21.898,24.193,16.271,182.843,0.673,2.969,3.624,0.091,48.369,MS,10.024,19.892,11.318,204.202
3835,09/06/2022 18:00,0.00036,0.00285,0.00321,0.136,0.04684,MS,MS,3.093,20.897,25.755,11.739,186.639,0.00007,0.00013,0.00243,0.00255,0.129,C,1.29,21.149,25.907,15.331,187.85,0.757,4.921,5.659,0.1,44.283,MS,4.282,23.057,9.859,195.257
3836,09/06/2022 19:00,0.00017,0.00274,0.00291,0.137,0.0421,MS,MS,2.948,20.052,28.613,9.561,186.454,0.00004,0.00009,0.00268,0.00277,0.132,0.03903,1.733,20.353,28.974,12.967,193.924,1.394,5.958,7.333,0.106,40.441,MS,4.396,25.763,8.756,205.415
3837,09/06/2022 20:00,0.0001,0.00282,0.00292,0.134,0.03979,MS,MS,2.431,19.801,27.816,8.533,207.946,0.00005,0.00004,0.00271,0.00274,0.135,0.03711,1.353,19.472,31.604,11.254,196.763,0.105,2.207,2.293,0.111,40.936,MS,3.693,28.187,7.275,234.159
3838,09/06/2022 21:00,0.00004,0.00302,0.00307,0.131,0.03817,MS,MS,2.21,18.712,30.821,8.279,215.4,0.00006,-0.00001,0.00242,0.00241,0.129,0.03435,2.247,18.08,36.502,10.718,202.567,0.058,2.42,2.457,0.116,39.172,MS,3.355,31.597,3.807,262.573
3839,09/06/2022 22:00,0.00006,0.00475,0.00481,0.131,0.0336,MS,MS,1.71,17.588,35.449,7.436,209.217,0.00007,-0.00001,0.00225,0.00224,0.123,0.03274,0.687,16.916,40.584,11.065,201.749,0.146,3.939,4.064,0.128,35.483,MS,3.338,36.02,4.994,219.849
3840,09/06/2022 23:00,0.00002,0.0034,0.00342,0.118,0.03277,MS,MS,1.307,16.671,39.409,6.803,209.154,0.00019,0,0.00176,0.00176,0.152,0.03196,0.017,16.041,43.653,9.868,207.648,0.128,3.564,3.67,0.119,33.679,MS,4.239,40.109,6.809,223.271
3841,10/06/2022 0:00,0.00007,0.00448,0.00455,0.113,0.02953,MS,MS,1.495,15.358,45.713,7.464,192.38,0.00017,-0.00002,0.00183,0.00181,0.112,0.02958,-0.612,15.093,48.013,8.089,207.697,0.056,2.401,2.435,0.113,32.977,MS,3.99,43.894,5.13,257.186
3842,10/06/2022 1:00,0.00008,0.00933,0.00942,0.116,0.02278,MS,MS,1.262,14.402,50.089,4.763,181.359,0.0001,-0.00001,0.00262,0.0026,0.151,0.02833,-0.751,14.64,49.585,5.715,221.503,0.052,2.712,2.742,0.114,30.696,MS,2.487,47.425,2.847,274.119
3843,10/06/2022 2:00,0.00003,0.00881,0.00884,0.124,0.01927,MS,MS,1.556,13.086,59.99,2.856,157.163,Z,Z,Z,Z,Z,Z,-0.781,14.582,48.697,2.529,268.057,0.068,4.84,4.876,0.119,24.761,MS,3.179,56.042,0.268,325.685
3844,10/06/2022 3:00,0.00006,0.00987,0.00993,0.128,0.01399,MS,MS,1.938,11.71,77.156,0.433,15.381,0.00007,0.00014,0.01194,0.01207,0.123,0.01665,-0.351,13.557,60.622,0.52,100.33,0.191,6.707,6.875,0.142,18.606,MS,3.227,63.249,1.094,356.525
3845,10/06/2022 4:00,Z,Z,Z,Z,Z,MS,MS,3.471,10.401,91.699,1.809,331.348,0.00007,0.00046,0.01198,0.01243,0.143,0.01323,0.915,12.65,71.509,1.754,294.964,Z,Z,Z,Z,Z,MS,3.822,68.785,1.245,326.203
3846,10/06/2022 5:00,0.0249,0.0233,0.04822,0.216,0.0012,MS,MS,4.875,9.514,99.881,1.155,315.94,0.0001,0.00273,0.01379,0.01651,0.161,0.00937,1.213,11.431,73.487,3.723,276.384,0.374,9.937,10.287,0.174,16.525,MS,2.964,66.102,2.364,302.8
3847,10/06/2022 6:00,0.01807,0.01848,0.03655,0.212,0.0144,MS,MS,4.265,12.778,71.162,5.262,291.742,0.00024,0.00829,0.01532,0.02361,0.237,0.0081,3.031,11.862,71.081,2.985,254.263,0.587,5.239,5.803,0.155,31.43,MS,1.148,48.473,4.658,300.68
3848,10/06/2022 7:00,0.00092,0.00417,0.00509,0.132,0.04257,MS,MS,1.107,17.4,34.98,19.886,301.445,0.00047,0.00415,0.01004,0.01418,0.18,0.0228,0.757,14.494,52.028,8.379,263.001,0.758,3.799,4.535,0.159,39.011,MS,1.527,41.441,6.298,319.562
3849,10/06/2022 8:00,0.00133,0.00437,0.0057,0.133,0.04438,MS,MS,1.772,18.813,30.776,18.448,296.819,0.00028,0.00482,0.00829,0.01311,0.149,0.03658,1.937,18.237,35.061,13.687,273.64,0.468,2.046,2.492,0.129,47.026,MS,1.792,32.217,11.72,298.964
3850,10/06/2022 9:00,0.00076,0.00251,0.00327,0.109,0.04928,MS,MS,2.102,19.66,26.4,20.018,287.503,0.00009,0.0061,0.00816,0.01426,0.129,0.04315,13.333,20.057,26.156,12.284,291.566,0.411,1.615,2.004,0.116,49.759,MS,1.905,27.737,13.181,285.827
3851,10/06/2022 10:00,0.00079,0.00225,0.00304,0.108,0.04927,MS,MS,1.199,20.753,25.035,18.069,299.917,0.00007,0.00552,0.00679,0.01231,0.147,0.04417,7.484,20.879,24.04,12.722,292.087,0.319,1.315,1.613,0.104,50.013,MS,2.037,25.865,14.761,282.424
3852,10/06/2022 11:00,0.00082,0.00209,0.0029,0.121,0.05142,MS,MS,1.451,21.454,22.779,18.641,288.557,0.00008,0.00169,0.00407,0.00575,0.141,0.04693,2.598,21.655,22.247,10.707,303.027,0.368,1.443,1.79,0.111,51.436,MS,2.526,23.161,14.215,276.015
3853,10/06/2022 12:00,0.00056,0.00166,0.00222,0.124,0.05269,MS,MS,1.235,22.146,21.031,16.944,291.143,0.00009,0.00072,0.00247,0.00319,0.122,0.04902,5.02,22.623,20.242,9.935,290.31,0.373,1.392,1.745,0.101,52.433,MS,2.944,21.163,13.078,272.516
3854,10/06/2022 13:00,0.00068,0.00184,0.00252,0.12,0.05201,MS,MS,1.408,22.931,19.669,14.153,280.949,0.00004,0.00129,0.00258,0.00387,0.118,0.0487,1.665,23.318,18.458,10.922,273.317,0.317,1.331,1.629,0.097,52.553,MS,2.351,20.93,12.448,283.608
3855,10/06/2022 14:00,0.00067,0.00174,0.00241,0.119,0.05177,MS,MS,1.547,23.418,17.916,15.742,280.651,0.00003,0.00155,0.00293,0.00448,0.116,0.04885,2.365,23.684,15.942,13.593,257.828,0.373,1.399,1.753,0.107,52.314,MS,2.59,18.389,15.312,275.664
3856,10/06/2022 15:00,0.00066,0.00168,0.00233,0.12,0.05066,MS,MS,1.535,23.536,17.914,13.75,270.216,0.00004,0.00271,0.00349,0.0062,0.121,0.04668,2.728,23.985,16.548,10.979,277.158,0.26,1.079,1.321,0.104,51.055,MS,2.565,18.13,14.428,281.378
3857,10/06/2022 16:00,0.00063,0.00183,0.00246,0.122,0.05036,MS,MS,1.728,23.571,17.836,14.575,264.37,0.00003,0.00122,0.00275,0.00396,0.124,0.04749,2.313,24.025,16.014,15.581,271.114,0.347,1.379,1.708,0.106,51.75,MS,2.727,17.829,16.684,267.991
3858,10/06/2022 17:00,0.00053,0.00175,0.00227,0.121,0.04976,MS,MS,1.484,23.381,18.749,15.138,268.044,0.00006,0.00527,0.00715,0.01241,0.121,0.04619,5.327,23.861,16.36,15.267,272.851,0.277,1.232,1.491,0.111,51.362,MS,2.889,18.075,15.516,274.571
3859,10/06/2022 18:00,0.0008,0.00281,0.00361,0.122,0.04947,MS,MS,1.523,23.161,18.787,13.047,275.897,0.00002,0.00127,0.00218,0.00345,0.12,0.04872,2.805,23.473,16.878,13.762,271.406,0.16,1.178,1.32,0.105,53.363,MS,2.748,17.282,12.682,280.792
3860,10/06/2022 19:00,0.00132,0.00448,0.0058,0.12,0.04796,MS,MS,1.4,22.757,18.93,12.713,282.186,0.00003,0.00012,0.00125,0.00137,0.118,0.04896,1.245,23.092,17.417,13.15,267.504,0.102,0.948,1.034,0.102,52.876,MS,2.703,17.443,13.773,287.295
3861,10/06/2022 20:00,0.00018,0.002,0.00218,0.126,0.04951,MS,MS,1.394,21.486,19.502,15.762,289.379,0.00003,0.00005,0.00123,0.00128,0.118,0.04768,1.15,21.917,18.299,14.947,267.049,0.067,1.463,1.513,0.11,50.448,MS,2.879,19.957,10.791,290.121
3862,10/06/2022 21:00,0.00007,0.00405,0.00411,0.139,0.04588,MS,MS,1.743,19.759,21.909,12.289,286.39,0.00001,0.00003,0.002,0.00204,0.123,0.04559,0.923,20.227,20.718,10.926,284.578,0.039,3.592,3.616,0.123,45.753,MS,3.24,25.147,6.466,299.982
3863,10/06/2022 22:00,0.00005,0.00537,0.00542,0.145,0.04276,MS,MS,1.813,18.551,24.538,13.377,302.201,0.00009,0.00006,0.00333,0.0034,0.139,0.04143,1.238,18.927,23.932,6.053,295.911,-0.003,2.39,2.371,0.121,44.436,MS,3.934,29.687,5.357,306.831
3864,10/06/2022 23:00,0.00007,0.00733,0.0074,0.135,0.04006,MS,MS,1.898,18.21,25.173,11.453,303.048,0.00026,0.00001,0.00553,0.00553,0.155,0.03646,1.852,17.438,28.904,5.69,264.67,0.006,3.633,3.623,0.132,41.465,MS,4.724,32.752,5.11,307.398
3865,11/06/2022 0:00,0.00001,0.00509,0.0051,0.136,0.04036,MS,MS,2.358,17.022,29.817,6.575,326.283,0.00024,0,0.00496,0.00496,0.142,0.03489,1.416,16.463,32.401,5.732,260.694,-0.006,5.281,5.258,0.133,38.793,MS,4.844,33.652,4.91,282.773
3866,11/06/2022 1:00,0.00002,0.00672,0.00673,0.177,0.03419,MS,MS,3.546,15.517,36.621,3.73,337.342,0.00028,-0.00001,0.00547,0.00546,0.172,0.03339,13.425,15.561,35.766,5.095,231.468,-0.008,5.119,5.097,0.135,36.725,MS,4.55,37.038,4.197,294.42
3867,11/06/2022 2:00,0.00005,0.00858,0.00863,0.178,0.026,MS,MS,4.684,13.794,48.16,1.629,177.588,Z,Z,Z,Z,Z,Z,4.158,15.105,36.573,5.828,249.128,0.013,4.652,4.651,0.136,36.331,MS,4.224,37.921,3.705,285.488
3868,11/06/2022 3:00,0.0001,0.01361,0.01371,0.18,0.01748,MS,MS,5.745,13.293,57.739,1.844,310.007,0.00018,0.00003,0.00421,0.00424,0.132,0.03289,1.744,14.863,38.493,5.277,253.455,-0.005,3.28,3.261,0.128,45.652,MS,3.695,34.598,5.642,299.451
3869,11/06/2022 4:00,Z,Z,Z,Z,Z,MS,MS,4.11,14.663,44.623,1.468,286.337,0.00026,0.00003,0.00441,0.00443,0.138,0.03508,1.305,15.481,37.053,5.519,243.648,Z,Z,Z,Z,Z,MS,2.657,34.069,5.245,328.198
3870,11/06/2022 5:00,0.00034,0.01543,0.01577,0.136,0.03049,MS,MS,2.896,15.26,40.647,2.719,285.615,0.00011,0.00012,0.00516,0.00528,0.136,0.03072,1.776,14.943,42.456,2.22,212.601,0.004,3.537,3.53,0.121,43.254,MS,2.986,46.077,2.507,333.642
3871,11/06/2022 6:00,0.00106,0.01392,0.01498,0.181,0.02604,MS,MS,5.293,14.721,44.087,2.759,152.01,0.00018,0.00037,0.00566,0.00603,0.174,0.0267,7.68,14.07,50.46,2.791,175.213,0.175,6.405,6.569,0.132,37.959,MS,3.665,53.017,4.95,285.778
3872,11/06/2022 7:00,0.00293,0.01375,0.01668,0.172,0.024,MS,MS,6.44,15.526,47.08,1.988,177.756,0.00018,0.00105,0.00627,0.00731,0.15,0.02833,4.056,15.06,48.355,5.452,264.577,0.339,5.411,5.741,0.137,39.472,MS,3.622,50.839,4.568,318.909
3873,11/06/2022 8:00,0.00251,0.00852,0.01103,0.157,0.03459,MS,MS,3.591,17.245,42.482,6.512,304.994,0.00052,0.0061,0.00895,0.01507,0.19,0.03563,10.12,17.857,38.103,4.58,289.277,2.159,7.754,9.904,0.154,29.344,MS,4.869,53.247,5.413,311.594
3874,11/06/2022 9:00,0.00173,0.00492,0.00665,0.151,0.03937,MS,MS,3.408,18.259,39.923,7.955,333.423,0.00056,0.00667,0.01031,0.01699,0.177,0.03689,13.535,18.995,34.046,6.587,334.267,1.963,5.218,7.174,0.14,37.689,MS,4.684,43.544,7.571,298.42
3875,11/06/2022 10:00,0.00098,0.00277,0.00375,0.142,0.04563,MS,MS,1.964,19.695,34.892,8.214,314.937,0.00069,0.00503,0.00596,0.01098,0.149,0.04108,5.332,20.062,31.831,1.983,286.303,0.331,1.69,2.014,0.114,46.369,MS,3.576,36.264,8.072,295.918
3876,11/06/2022 11:00,0.0004,0.00191,0.00231,0.137,0.04841,MS,MS,1.591,19.748,33.932,6.325,289.889,0.00083,0.00369,0.00548,0.00917,0.148,0.04387,5.935,20.353,32.069,2.705,309.45,0.208,1.895,2.098,0.114,47.142,MS,3.404,38.529,10.341,275.931
3877,11/06/2022 12:00,0.00107,0.00775,0.00882,0.145,0.0419,MS,MS,1.774,15.181,60.603,12.148,267.503,0.00016,0.00235,0.00576,0.00811,0.158,0.04266,9.394,15.918,57.407,13.042,283.041,0.846,4.723,5.565,0.118,45.908,MS,2.785,52.628,10.842,221.278
3878,11/06/2022 13:00,0.00163,0.00464,0.00627,0.166,0.04529,MS,MS,1.725,16.039,66.434,4.85,149.144,0.00009,0.00094,0.00391,0.00486,0.134,0.04356,-0.687,16.205,64.971,6.226,118.078,1.51,4.681,6.188,0.121,47.003,MS,2.324,44.337,7.186,191.337
3879,11/06/2022 14:00,0.00054,0.00182,0.00236,0.146,0.05158,MS,MS,0.761,19.299,39.082,7.546,164.869,0.00007,0.00023,0.00195,0.00218,0.127,0.04697,1.431,20.206,39.262,5.206,168.724,0.552,2.255,2.804,0.119,50.341,MS,2.212,38.498,8.737,183.539
3880,11/06/2022 15:00,0.00025,0.00109,0.00134,0.137,0.05074,MS,MS,0.693,20.408,34.932,6.713,180.762,0.00007,0.00011,0.00167,0.00179,0.128,0.04596,2.403,21.13,34.755,7.249,186.359,0.355,1.742,2.095,0.114,50.871,MS,2.411,32.803,9.578,209.272
3881,11/06/2022 16:00,0.00037,0.00134,0.00171,0.134,0.05044,MS,MS,1.119,21.657,29.785,3.871,273.878,0.00002,0.00007,0.00133,0.0014,0.126,0.0458,0.294,21.959,27.481,12.168,233.254,0.252,1.575,1.827,0.107,50.459,MS,3.571,30.6,4.852,329.117
3882,11/06/2022 17:00,0.0004,0.00224,0.00264,0.149,0.04991,MS,MS,1.818,21.344,33.782,6.135,30.964,-0.00001,0.00012,0.00131,0.00143,0.124,0.04855,0.457,22.796,21.096,13.012,255.241,0.24,2.269,2.51,0.118,51.37,MS,3.676,35.608,8.595,43.118
3883,11/06/2022 18:00,0.00034,0.00251,0.00286,0.147,0.05133,MS,MS,1.955,20.861,33.42,10.485,340.653,0.00018,0.00014,0.00145,0.00159,0.123,0.04982,2.664,22.948,21.251,11.398,278.963,0.197,1.797,1.995,0.114,53.649,MS,4.067,36.998,13.719,5.2
3884,11/06/2022 19:00,0.00048,0.00279,0.00327,0.138,0.05278,MS,MS,2.036,18.863,37.814,20.475,2.415,0.00065,0.00041,0.00336,0.00377,0.134,0.04756,3.36,20.259,35.415,19.83,3.221,0.162,1.703,1.867,0.109,53.47,MS,4.195,38.89,12.333,27.901
3885,11/06/2022 20:00,0.00028,0.00311,0.00338,0.14,0.05229,MS,MS,1.504,17.87,39.427,14.684,16.887,0.00012,0.0002,0.00337,0.00357,0.127,0.04678,1.214,18.34,41.239,14.823,19.26,0.089,1.703,1.795,0.106,50.055,MS,3.3,39.618,11.767,44.092
3886,11/06/2022 21:00,0.00002,0.00365,0.00366,0.156,0.04942,MS,MS,1.642,16.561,45.041,6.935,21.89,0.00004,0.00009,0.00538,0.00547,0.127,0.04355,0.238,16.757,46.367,9.341,16.191,0.004,2.715,2.721,0.116,47.559,MS,3.796,43.684,3.861,16.979
3887,11/06/2022 22:00,-0.00001,0.01002,0.01001,0.182,0.03953,MS,MS,3.234,14.633,52.295,2.991,334.829,0.00004,-0.00001,0.00501,0.005,0.138,0.04191,2.816,15.39,53.483,2.922,9.368,-0.012,5.149,5.142,0.142,41.377,MS,5.105,49.655,2.276,14.243
3888,11/06/2022 23:00,-0.00002,0.00894,0.00891,0.218,0.02982,MS,MS,5.899,12.347,68.542,0.681,315.215,0.00001,0.00003,0.00932,0.00935,0.159,0.0323,4.072,13.506,68.334,2.39,156.789,-0.007,10.255,10.255,0.167,32.035,MS,8.764,56.517,2.193,298.368
3889,12/06/2022 0:00,0.00001,0.01416,0.01416,0.266,0.02388,MS,MS,8.585,12.127,77.34,1.994,138.751,0.00001,0.00004,0.00917,0.00921,0.188,0.03062,7.096,12.167,84.163,2.824,163.169,-0.004,9.883,9.887,0.135,29.825,MS,7.832,61.259,3.599,301.33
3890,12/06/2022 1:00,0.00003,0.0144,0.01443,0.262,0.0175,MS,MS,13.344,10.818,96.132,0.601,111.399,0.0001,0.00004,0.01136,0.0114,0.235,0.02575,9.3,12.308,74.596,2.971,254.688,-0.025,4.352,4.336,0.115,34.565,MS,5.584,63.097,5.224,308.337
3891,12/06/2022 2:00,0.00005,0.01418,0.01423,0.263,0.01379,MS,MS,14.003,9.635,99.77,0.455,55.759,Z,Z,Z,Z,Z,Z,7.08,10.979,79.096,7.706,250.639,-0.012,4.524,4.522,0.117,30.273,MS,6.009,70.267,6.586,317.82
3892,12/06/2022 3:00,0.00007,0.01438,0.01445,0.249,0.011,MS,MS,11.214,8.989,99.705,1.012,11.763,0.00009,0.00003,0.00378,0.00382,0.149,0.02705,4.266,10.3,79.284,8.289,258.546,-0.002,5.437,5.446,0.136,28.476,MS,5.675,71.385,6.7,304.764
3893,12/06/2022 4:00,Z,Z,Z,Z,Z,MS,MS,6.403,8.678,99.004,3.32,327.941,0.00008,0.00006,0.0038,0.00386,0.143,0.02317,2.808,9.12,82.715,7.382,263.414,Z,Z,Z,Z,Z,MS,6.296,73.3,7.167,305.932
3894,12/06/2022 5:00,0.00019,0.00954,0.00974,0.157,0.01739,MS,MS,4.306,8.293,90.933,1.028,56.223,0.00022,0.00014,0.00436,0.0045,0.134,0.02316,2.122,8.544,77.188,8.124,265.357,0.25,10.249,10.509,0.138,17.916,MS,6.588,75.978,7.816,301.386
3895,12/06/2022 6:00,0.00106,0.00951,0.01057,0.157,0.02182,MS,MS,3.723,10.602,67.705,8.53,316.797,0.00052,0.00171,0.00999,0.01169,0.14,0.01898,3.711,9.699,67.297,2.844,291.143,1.237,9.211,10.458,0.146,18.648,MS,5.665,70.895,6.906,299.721
3896,12/06/2022 7:00,0.0015,0.00629,0.00779,0.144,0.02757,MS,MS,2.799,12.644,50.302,11.667,320.708,0.00306,0.00225,0.00848,0.01074,0.159,0.02144,3.16,12.083,55.755,6.222,289.319,1.952,8.963,10.922,0.148,20.42,MS,4.571,65.789,7.297,299.66
3897,12/06/2022 8:00,0.00134,0.00689,0.00822,0.149,0.02473,MS,MS,3.064,12.756,52.178,8.154,325.859,0.00283,0.00377,0.00878,0.01255,0.16,0.02167,2.538,12.699,53.208,5.808,276.063,1.59,7.912,9.509,0.163,22.77,MS,3.688,60.757,5.478,297.792
3898,12/06/2022 9:00,0.0024,0.0076,0.01001,0.165,0.02369,MS,MS,3.674,13.736,51.631,3.034,341.137,0.00242,0.00232,0.00747,0.0098,0.176,0.02284,11.294,14.026,50.281,2.557,229.934,1.68,6.899,8.585,0.155,26.027,MS,3.513,55.472,4.673,301.665
3899,12/06/2022 10:00,0.00122,0.00379,0.00501,0.152,0.03626,MS,MS,2.539,15.143,43.415,8.129,337.268,0.00143,0.01522,0.01394,0.02916,0.166,0.02768,7.837,15.545,40.616,5.937,320.333,0.762,3.161,3.928,0.136,38.221,MS,3.131,48.181,6.488,348.536
3900,12/06/2022 11:00,0.00161,0.00449,0.00611,0.137,0.03967,MS,MS,3.878,15.544,47.389,11.285,359.972,0.00041,0.00278,0.00432,0.0071,0.145,0.03727,3.72,17.326,40.624,8.527,15.8,0.326,1.786,2.116,0.121,47.582,MS,4.571,50.007,11.487,25.467
3901,12/06/2022 12:00,0.00086,0.0028,0.00367,0.14,0.04541,MS,MS,5.333,16.325,51.643,10.542,15.257,0.0007,0.00085,0.00305,0.0039,0.128,0.04206,5.231,18.133,42.688,9.137,34.423,0.353,2.291,2.647,0.115,49.916,MS,6.033,52.294,8.406,30.61
3902,12/06/2022 13:00,0.00032,0.00174,0.00206,0.14,0.05252,MS,MS,4.839,16.612,50.964,13.606,59.452,0.00038,0.00058,0.00296,0.00353,0.125,0.0464,5.805,18.812,44.067,10.74,42.275,0.374,2.357,2.733,0.11,54.275,MS,5.274,47.974,9.871,59.725
3903,12/06/2022 14:00,0.00029,0.00181,0.0021,0.139,0.05426,MS,MS,3.585,17.688,46.018,10.169,42.364,0.00029,0.00046,0.00306,0.00352,0.125,0.04886,4.88,19.704,41.431,8.442,59.982,0.326,2.359,2.685,0.095,56.343,MS,5.629,43.521,9.373,71.022
3904,12/06/2022 15:00,0.00017,0.00199,0.00216,0.139,0.0557,MS,MS,4.091,17.907,44.864,11.936,65.789,0.00021,0.00031,0.0034,0.00371,0.125,0.0502,5.103,19.083,42.456,10.061,39.232,0.095,2.487,2.582,0.088,53.172,MS,5.197,49.466,9.292,7.184
3905,12/06/2022 16:00,0.00052,0.006,0.00652,0.169,0.04671,MS,MS,9.269,12.514,89.254,9.459,344.789,0.00023,0.00098,0.00481,0.00579,0.131,0.04802,6.681,16.25,50.97,13.049,359.383,0.345,2.327,2.67,0.096,52.028,MS,5.939,62.494,11.974,29.554
